gene_id	ZF-B-1_1-Run1.sam	ZF-B-1_1-Run2.sam	ZF-B-2_2-Run1.sam	ZF-B-2_2-Run2.sam	ZF-B-3_3-Run1.sam	ZF-B-3_3-Run2.sam	ZF-I-1_1-Run1.sam	ZF-I-1_1-Run2.sam	ZF-I-2_2-Run1.sam	ZF-I-2_2-Run2.sam	ZF-I-3_3-Run1.sam	ZF-I-3_3-Run2.sam
ENSDARG00000004647	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000005593	0	0	0	0	0	0	0	0	0	0	1	0
ENSDARG00000009079	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000012581	0	0	0	0	1	0	0	0	1	0	0	0
ENSDARG00000017545	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000033089	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000034229	0	0	2	0	1	0	0	0	0	0	0	0
ENSDARG00000036044	0	7	21	7	19	3	12	3	21	6	41	22
ENSDARG00000038009	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000038570	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000038974	0	0	0	0	1	0	0	0	0	0	0	0
ENSDARG00000039423	0	0	1	0	0	0	0	0	0	0	0	0
ENSDARG00000040200	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000040703	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000041007	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000043232	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000044129	0	1	1	1	0	0	0	0	0	0	0	0
ENSDARG00000044235	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000044937	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000052411	0	0	0	0	3	0	0	0	0	0	0	0
ENSDARG00000052528	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000052609	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000052693	0	0	0	0	0	0	1	0	0	0	0	0
ENSDARG00000052873	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000053387	0	0	0	0	1	0	0	0	0	0	0	0
ENSDARG00000053570	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000053731	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000054527	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000054882	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000056245	0	1	0	0	0	0	0	0	0	0	0	0
ENSDARG00000057148	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000057403	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000058700	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000059196	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000063300	0	0	0	0	1	0	0	0	0	0	0	0
ENSDARG00000068085	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000068484	0	0	1	0	0	0	0	0	0	0	0	0
ENSDARG00000068792	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000068945	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000069404	0	0	1	0	0	0	0	0	0	0	0	0
ENSDARG00000069839	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000070039	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000070314	0	0	0	0	3	0	0	0	0	0	0	1
ENSDARG00000070685	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000070885	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000070890	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000071461	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000071554	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000071905	0	1	1	0	3	2	0	0	0	0	0	0
ENSDARG00000073994	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000074253	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000074519	0	0	0	0	1	0	0	0	0	0	0	0
ENSDARG00000074868	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000075002	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000075193	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000075339	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000075500	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000076901	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000076945	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000077602	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000077631	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000078220	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000078270	0	0	3	0	3	1	0	0	0	0	0	0
ENSDARG00000078608	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000079250	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000079332	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000079403	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000079588	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000079785	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000079925	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000080024	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000080031	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000080032	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000080037	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000080038	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000080040	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000080041	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000080044	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000080051	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000080057	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000080065	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000080075	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000080081	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000080087	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000080093	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000080100	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000080109	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000080110	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000080128	1	1	24	6	17	0	0	1	0	0	0	0
ENSDARG00000080129	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000080132	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000080138	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000080143	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000080147	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000080151	0	2	14	5	10	4	0	0	2	0	0	0
ENSDARG00000080152	0	0	0	0	0	0	0	0	1	0	0	0
ENSDARG00000080156	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000080158	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000080168	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000080170	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000080172	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000080174	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000080181	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000080188	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000080195	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000080199	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000080201	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000080203	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000080205	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000080207	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000080218	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000080221	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000080223	0	0	0	0	0	0	0	0	0	0	0	0
