# Program:featureCounts v2.0.0; Command:"featureCounts" "-a" "/home/inesbatista/Documents/MASTER/GENOME/Danio_rerio.GRCz11.100.gtf" "-F" "GTF" "-t" "gene" "-g" "gene_id" "-o" "/home/inesbatista/Documents/MASTER/featureCountsOUT/2020_08_07_danRer11ensembl/V3/gene.txt" "ZF-B-1_1-Run1.bam" "ZF-B-1_1-Run2.bam" "ZF-B-2_2-Run1.bam" "ZF-B-2_2-Run2.bam" "ZF-B-3_3-Run1.bam" "ZF-B-3_3-Run2.bam" "ZF-I-1_1-Run1.bam" "ZF-I-1_1-Run2.bam" "ZF-I-2_2-Run1.bam" "ZF-I-2_2-Run2.bam" "ZF-I-3_3-Run1.bam" "ZF-I-3_3-Run2.bam" 
Geneid	Chr	Start	End	Strand	Length	ZF-B-1_1-Run1.bam	ZF-B-1_1-Run2.bam	ZF-B-2_2-Run1.bam	ZF-B-2_2-Run2.bam	ZF-B-3_3-Run1.bam	ZF-B-3_3-Run2.bam	ZF-I-1_1-Run1.bam	ZF-I-1_1-Run2.bam	ZF-I-2_2-Run1.bam	ZF-I-2_2-Run2.bam	ZF-I-3_3-Run1.bam	ZF-I-3_3-Run2.bam
ENSDARG00000102141	4	17308	18211	-	904	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000102123	4	31259	45642	+	14384	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000114503	4	38344	45396	+	7053	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000115971	4	48519	53370	-	4852	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000098311	4	57034	64703	-	7670	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000104839	4	69619	72011	+	2393	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000100143	4	90048	100007	+	9960	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000102474	4	107287	119689	-	12403	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000104049	4	121709	125402	+	3694	0	0	3	0	2	0	0	0	0	0	0	0
ENSDARG00000102226	4	128697	133492	-	4796	0	1	0	0	0	0	0	0	0	0	0	0
ENSDARG00000103095	4	134412	149334	-	14923	0	1	0	0	0	0	0	0	0	0	0	0
ENSDARG00000102128	4	151506	178510	-	27005	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000110470	4	184863	193762	-	8900	0	0	0	0	1	0	0	0	0	0	0	0
ENSDARG00000100422	4	190547	211714	-	21168	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000104632	4	233812	240737	-	6926	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000100660	4	269443	277081	-	7639	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000113107	4	279669	282860	+	3192	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000099787	4	286425	287425	-	1001	0	0	1	0	0	0	0	0	0	0	0	0
ENSDARG00000112451	4	288633	292031	+	3399	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000070546	4	306036	308006	+	1971	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000045914	4	308688	317971	+	9284	0	0	2	1	0	0	0	0	0	0	0	0
ENSDARG00000045913	4	325028	330748	-	5721	0	0	1	0	1	0	0	0	0	0	0	0
ENSDARG00000045911	4	331351	353924	+	22574	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000045910	4	357810	386168	+	28359	0	1	0	0	2	0	0	0	0	0	0	0
ENSDARG00000045909	4	386435	390442	-	4008	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000025073	4	391297	398451	+	7155	0	2	23	6	16	5	9	4	5	3	14	5
ENSDARG00000084828	4	393766	393902	+	137	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000095951	4	400376	401850	+	1475	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000093924	4	402626	499946	+	97321	0	0	0	0	2	0	0	0	0	0	0	0
ENSDARG00000108269	4	419659	419774	+	116	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000084451	4	554267	554384	+	118	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000031737	4	612363	626550	+	14188	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000099652	4	646154	675427	+	29274	0	0	1	0	0	0	0	0	0	0	0	0
ENSDARG00000101047	4	676710	685433	-	8724	0	0	0	0	0	0	0	0	0	0	1	0
ENSDARG00000102104	4	681501	683465	+	1965	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000099833	4	686157	700697	+	14541	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000103870	4	701612	734347	-	32736	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000096118	4	736395	737520	+	1126	1	0	10	4	7	0	2	0	2	0	7	1
ENSDARG00000045900	4	737539	760560	-	23022	0	0	0	0	1	0	0	0	0	0	0	0
ENSDARG00000016968	4	764100	779796	-	15697	0	0	1	0	1	1	0	0	0	0	0	0
ENSDARG00000102878	4	783644	797858	-	14215	0	0	2	0	1	0	0	0	0	1	0	0
ENSDARG00000059311	4	798696	815871	-	17176	0	0	1	0	0	0	0	0	0	0	0	0
ENSDARG00000017386	4	818928	858434	-	39507	0	0	0	2	0	0	0	0	0	0	0	0
ENSDARG00000045898	4	842010	845033	+	3024	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000006060	4	861444	890220	-	28777	0	0	0	0	1	0	0	0	0	0	0	0
ENSDARG00000113105	4	892959	928212	+	35254	0	0	0	1	0	0	0	0	0	0	0	0
ENSDARG00000103050	4	905483	908821	-	3339	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000070535	4	912563	914738	+	2176	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000013789	4	929557	948842	-	19286	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000063686	4	958051	965267	-	7217	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000087962	4	966061	983242	+	17182	0	0	0	1	0	0	0	0	0	0	0	0
ENSDARG00000099313	4	982028	992148	-	10121	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000103102	4	1014548	1015896	-	1349	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000104018	4	1054708	1068155	-	13448	0	0	5	0	6	0	0	0	0	0	0	0
ENSDARG00000102157	4	1103158	1147655	-	44498	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000098612	4	1146346	1284672	+	138327	0	1	3	1	1	1	1	0	0	0	0	0
ENSDARG00000100898	4	1191527	1191644	+	118	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000102340	4	1301436	1360495	-	59060	0	2	6	2	4	2	1	0	1	0	1	0
ENSDARG00000111388	4	1388965	1403077	-	14113	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000025601	4	1461079	1466395	+	5317	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000063672	4	1469106	1497384	-	28279	0	0	0	0	2	0	0	0	0	0	0	0
ENSDARG00000018149	4	1516716	1566572	+	49857	0	0	1	0	0	0	0	0	1	0	0	0
ENSDARG00000095920	4	1576889	1593127	+	16239	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000045886	4	1600034	1617897	+	17864	1	1	5	1	2	1	1	0	0	0	0	0
ENSDARG00000045885	4	1619584	1643101	+	23518	0	0	0	0	2	0	1	0	0	0	0	0
ENSDARG00000007413	4	1647098	1684347	-	37250	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000097341	4	1685021	1685345	+	325	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000045880	4	1689312	1720648	-	31337	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000009657	4	1722899	1730920	+	8022	0	1	0	0	1	0	0	0	0	0	0	0
ENSDARG00000093658	4	1732825	1757460	-	24636	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000026839	4	1757462	1759555	+	2094	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000016979	4	1761029	1771308	+	10280	0	0	1	0	0	0	0	0	0	0	0	0
ENSDARG00000070477	4	1766333	1785120	-	18788	0	0	0	1	0	1	0	0	0	0	0	0
ENSDARG00000045878	4	1788748	1801619	-	12872	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000045877	4	1809562	1818315	-	8754	0	0	0	0	0	0	1	0	0	0	0	0
ENSDARG00000079391	4	1821637	1824836	-	3200	1	0	1	0	4	0	0	0	0	0	0	0
ENSDARG00000015921	4	1825839	1839352	-	13514	0	0	2	1	1	0	1	0	0	0	0	0
ENSDARG00000099520	4	1844336	1845156	+	821	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000061544	4	1878573	1914228	-	35656	0	0	0	1	0	0	0	0	0	0	0	0
ENSDARG00000020812	4	1921011	1930024	-	9014	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000094007	4	1937522	1943586	+	6065	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000093685	4	1950849	1951496	+	648	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000059196	4	1958240	1974894	+	16655	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000009262	4	1988460	2036620	-	48161	0	0	0	1	0	0	0	0	0	0	1	0
ENSDARG00000018618	4	2041067	2059302	-	18236	0	0	0	0	2	0	0	0	0	0	0	1
ENSDARG00000045874	4	2059692	2062435	+	2744	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000057468	4	2060524	2196928	-	136405	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000045873	4	2092683	2099581	+	6899	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000079143	4	2210317	2219705	-	9389	0	0	0	0	0	0	0	0	0	0	0	0
