# Program:featureCounts v2.0.0; Command:"featureCounts" "-a" "/home/inesbatista/Documents/MASTER/GENOME/Danio_rerio.GRCz10.91.gtf" "-F" "GTF" "-t" "transcript" "-g" "gene_id" "-o" "/home/inesbatista/Documents/MASTER/featureCountsOUT/2020_08_07_danRer10ensembl/V3/transcript.txt" "ZF-B-1_1-Run1.bam" "ZF-B-1_1-Run2.bam" "ZF-B-2_2-Run1.bam" "ZF-B-2_2-Run2.bam" "ZF-B-3_3-Run1.bam" "ZF-B-3_3-Run2.bam" "ZF-I-1_1-Run1.bam" "ZF-I-1_1-Run2.bam" "ZF-I-2_2-Run1.bam" "ZF-I-2_2-Run2.bam" "ZF-I-3_3-Run1.bam" "ZF-I-3_3-Run2.bam" 
Geneid	Chr	Start	End	Strand	Length	ZF-B-1_1-Run1.bam	ZF-B-1_1-Run2.bam	ZF-B-2_2-Run1.bam	ZF-B-2_2-Run2.bam	ZF-B-3_3-Run1.bam	ZF-B-3_3-Run2.bam	ZF-I-1_1-Run1.bam	ZF-I-1_1-Run2.bam	ZF-I-2_2-Run1.bam	ZF-I-2_2-Run2.bam	ZF-I-3_3-Run1.bam	ZF-I-3_3-Run2.bam
ENSDARG00000104632	4	6732	52059	-	45328	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000100660	4	16257	28189	+	11933	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000098417	4	30383	34259	+	3877	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000100422	4;4;4	57288;57509;77742	77456;84550;85736	+;+;+	28449	0	0	0	0	3	0	0	0	0	0	0	0
ENSDARG00000102128	4;4;4;4;4;4;4	90801;90903;90911;97005;99263;99294;105733	117623;117907;117908;119267;117621;117907;111065	+;+;+;+;+;+;+	28467	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000103095	4;4;4;4	120072;120079;120079;131656	135084;134220;134990;134450	+;+;+;+	15013	0	1	0	0	0	0	0	0	0	0	0	0
ENSDARG00000102226	4	135880	141154	+	5275	0	1	0	0	0	0	0	0	0	0	0	0
ENSDARG00000104049	4;4	144009;144011	147740;147627	-;-	3732	0	0	3	0	2	0	0	0	0	0	0	0
ENSDARG00000102474	4;4;4	149700;154272;154409	162134;162252;334996	+;+;+	185297	1	0	0	0	1	0	0	0	0	0	0	0
ENSDARG00000100143	4;4;4;4	168033;169406;179929;192742	179356;194804;194804;195214	-;-;-;-	27182	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000104839	4;4;4;4;4	196253;196261;198046;198229;199138	200252;200256;200026;202858;200051	-;-;-;-;-	6606	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000104373	4	203199	205503	-	2305	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000098311	4;4;4	207365;207365;207369	212746;212313;210334	+;+;+	5382	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000102121	4	216043	223018	+	6976	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000102123	4;4;4;4;4;4;4;4;4;4	223156;223161;223514;223818;224017;224207;227806;228144;228179;231660	241528;238178;240969;239284;239286;225060;229043;229020;231334;240933	-;-;-;-;-;-;-;-;-;-	18373	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000102141	4	251201	252106	+	906	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000105725	4	258369	264546	-	6178	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000099787	4	272976	274054	-	1079	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000070546	4	292588	294558	+	1971	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000045914	4;4;4;4	295240;295249;295254;295259	303634;303388;301485;304523	+;+;+;+	9284	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000045913	4;4	311580;316323	317300;317265	-;-	5721	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000045911	4;4	317903;319261	340476;340476	+;+	22574	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000045910	4;4;4;4;4	344362;344362;344377;346508;346522	349357;372720;372348;371658;354534	+;+;+;+;+	28359	0	1	0	0	2	0	0	0	0	0	0	0
ENSDARG00000045909	4;4;4	372987;373695;373695	376994;376983;376983	-;-;-	4008	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000025073	4;4	377849;377928	385003;384476	+;+	7155	0	2	23	6	16	5	9	4	5	3	14	5
ENSDARG00000084828	4	380318	380454	+	137	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000084784	4	383213	383349	+	137	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000095951	4	386928	388402	+	1475	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000093924	4	389178	486498	+	97321	0	0	0	0	2	0	0	0	0	0	0	0
ENSDARG00000108269	4	406211	406326	+	116	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000084451	4	540819	540936	+	118	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000106668	4	564402	573628	+	9227	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000031737	4;4	578216;598915	611446;613102	+;+	34887	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000099652	4	632706	661979	+	29274	0	0	1	0	0	0	0	0	0	0	0	0
ENSDARG00000101047	4;4;4	663262;669513;669604	671964;671985;671971	-;-;-	8724	0	0	0	0	0	0	0	0	0	0	1	0
ENSDARG00000102104	4	668053	670017	+	1965	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000099833	4	672709	687249	+	14541	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000103870	4	688164	720899	-	32736	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000107297	4	710382	719036	-	8655	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000096118	4	722947	724072	+	1126	1	0	10	4	7	0	2	0	2	0	7	1
ENSDARG00000045900	4;4	724091;737842	747112;739625	-;-	23022	0	0	0	0	1	0	0	0	0	0	0	0
ENSDARG00000016968	4;4;4;4	750652;750948;755595;757904	766348;756372;756183;758944	-;-;-;-	15697	0	0	1	0	1	1	0	0	0	0	0	0
ENSDARG00000102878	4;4;4	770196;771890;773618	784410;776197;784383	-;-;-	14215	0	0	2	0	1	0	0	0	0	1	0	0
ENSDARG00000059311	4;4	785248;790699	802423;795005	-;-	17176	0	0	1	0	0	0	0	0	0	0	0	0
ENSDARG00000017386	4;4	805480;809877	824371;824452	-;-	18973	0	0	0	2	0	0	0	0	0	0	0	0
ENSDARG00000045898	4	828562	831585	+	3024	0	0	0	0	1	0	0	0	0	0	0	0
ENSDARG00000006060	4;4	847996;848248	866967;885445	-;-	37450	0	0	0	1	1	0	0	0	0	0	0	0
ENSDARG00000103050	4	892035	895373	-	3339	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000104018	4;4;4	895549;1041260;1041282	1054643;1054707;1054379	-;-;-	159159	0	0	5	0	7	0	0	0	0	0	0	0
ENSDARG00000070535	4	899115	901290	+	2176	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000013789	4;4;4	913510;916109;923781	935496;935328;935394	-;-;-	21987	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000063686	4	945169	952040	-	6872	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000087962	4;4;4	952638;962343;965336	969736;962961;967728	+;+;+	17099	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000099313	4	972512	978700	-	6189	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000103102	4	1000901	1006200	-	5300	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000107902	4	1074082	1076739	+	2658	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000102157	4	1089710	1134207	-	44498	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000098612	4;4	1132898;1269620	1271224;1271224	+;+	138327	0	1	3	1	1	1	1	0	0	0	0	0
ENSDARG00000100898	4	1178079	1178196	+	118	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000102340	4	1287988	1347047	-	59060	0	2	6	2	4	2	1	0	1	0	1	0
ENSDARG00000099129	4	1466013	1467049	-	1037	0	0	0	1	0	1	0	0	0	0	0	0
ENSDARG00000101813	4;4	1469444;1473673	1496899;1497032	-;-	27589	0	1	6	1	8	0	0	0	0	0	1	1
ENSDARG00000107640	4	1508750	1514085	-	5336	0	1	0	0	2	0	0	0	0	0	0	0
ENSDARG00000106927	4;4	1516109;1516109	1522413;1518129	-;-	6305	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000107853	4	1527411	1530087	-	2677	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000098551	4	1544820	1564628	-	19809	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000025601	4	1612198	1616985	+	4788	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000063672	4;4	1619906;1621395	1640099;1648034	-;-	28129	0	0	0	0	2	0	0	0	0	0	0	0
ENSDARG00000018149	4;4;4;4;4;4	1667403;1680974;1680974;1680974;1680974;1680974	1689350;1690487;1717259;1717253;1717253;1717253	+;+;+;+;+;+	49857	0	0	1	0	0	0	0	0	1	0	0	0
ENSDARG00000095920	4	1727576	1743814	+	16239	0	0	0	0	0	0	0	0	0	0	0	0
